have (had; had )|иметь; получать; быть должным  
not|не, нет; ни 
was|был, была, было; пр. вр. ед. ч. гл. to be (с I, he/she/it)
that|тот, та, то 
do (did; done )|делать 
with|с, вместе с 
say (said; said )|говорить 
her|её
for|в течение, на, для 
as|как; когда 
are|мн. ч. наст. врем. гл. to be (с we, you, they)  
we|мы  
but|только, лишь; кроме; но, а  
can|(прош. врем. could ) мочь; уметь  
him|его 
they|они
up|наверх(у), выше; вверх по, вдоль по 
what|что 
out|вне, снаружи; вне,
me|мне, меня  
go (went; gone )|идти, ехать; уходить  
get (got ; got)|получать; брать; приобретать 
this|этот, эта, это 
from|от, из, с 
be|(was/were/ [wW]; been [bJn]) быть, существовать; находиться и др.
look|взгляд; смотреть
my|мой
there|там, туда; вот
know (knew ; known|[noun]) знать
all|все, вся, всё  
one|один; один 
no|нет;не  
see (saw ; seen|[sJn]) видеть
will|1) вспом. гл. в Future Ind.; 2) как модальный 
back|спина; задний
into|в  
like|похожий;как, подобно; любить, нравиться 
if|если 
were|были; прош. врем. мн. ч. гл. to be (с we, you, they) 
then|тогда; затем 
an|артикль неопредел.
come (came ; come)|приходить, приезжать; случаться
think (thought ; thought)|думать; считать, полагать 
so|так; тоже, также
down|вниз, внизу; вниз по, вдоль по
your|твой, ваш
them|их, им 
would|1) вспом. гл.; 2) как
about|кругом, вокруг; около; о, об, относительно 
man|(мн. ч. men) человек,
take (took ; taken|[teIkn]) брать; доставлять; принимать 
just|только что
by|у, около 
am|1-е л. ед.ч. наст. врем. гл. to
now|теперь, сейчас 
over|над; свыше 
make (made ; made)|делать, производить; совершать 
been|прич. пр. вр. гл. to be
or|или   
time|время; раз 
when|когда  
hand|рука  
who|кто; который 
want|хотеть
here|здесь, тут
tell (told ; told)|говорить
off|с, от 
right|правый;верно
their|их  
turn|поворачивать(ся)
two|два
through|через, сквозь
eye|глаз; взгляд 
head|голова  
other|другой, иной, еще; другой; others- другие 
how|как 
some|несколько
more|больше, более 
around|кругом, вокруг; поблизости; вокруг, по 
door|дверь 
room|комната 
face|лицо 
day|день; сутки 
where|где; куда 
way|путь, дорога 
night|ночь; вечер 
well|хорошо 
thing|вещь, предмет 
open|открывать(ся)
away|далеко; прочь
give (gave ; given|[gIvn]) давать
only|только 
something|что-то, что-нибудь;примерно, около
ask|спрашивать 
move|двигать(ся) 
